,MURI_021,MURI_022,MURI_030,MURI_031,MURI_039,MURI_040,MURI_048,MURI_049,MURI_057,MURI_058,MURI_073,MURI_074,MURI_075,MURI_076,MURI_081,MURI_083,MURI_084,MURI_086,MURI_088,MURI_090,MURI_092,MURI_094,MURI_096,MURI_102,MURI_103,MURI_112,MURI_113,MURI_114,MURI_116,MURI_124,MURI_125,MURI_126,MURI_128,MURI_136,MURI_137,MURI_138,MURI_140
ECB_00001,4.64586112581269,3.77327618006652,5.49862984669464,3.50474770701396,4.62287793961663,5.17768671647975,2.80930455791779,-1.00561683399571,3.77101958016213,4.82219421444749,5.4708112273007,-1.00561683399571,1.42355740858648,3.44486357261887,5.3829227151399,-1.00561683399571,3.4946440572246,4.8386929348378,5.07226759413273,2.97932443604377,4.47933064820217,5.33640084788114,4.9236279874201,4.45612472623217,3.5098237169537,3.0648345869967,3.50541245057915,3.82637416570083,2.5960757468251,3.9953669326091,5.12590075080987,3.88914480777409,2.89526936898067,4.07547720799977,3.99824891619025,1.46393462202154,3.37209528169611
ECB_00002,4.05421876567906,2.59289420202836,4.28745791833904,4.14930510451956,4.0029354405542,3.55238148464261,1.98470183076886,5.3757651355332,1.79042804382631,3.21392702911894,4.42777691883792,-1.00561683399571,-1.00561683399571,3.58416568785177,4.26361623847066,-1.00561683399571,7.21921067835304,7.02801646814708,3.35055261034963,2.13766667172632,4.01879246027326,4.34742292233805,3.37407551879334,3.18933511097885,1.9667423436218,3.734752869627,3.80279213839895,4.18203704869534,5.07547281008808,2.79652836871931,3.3371842063214,4.5878380760341,5.78049573890523,6.0348026407187,3.31777243815501,2.21647055814393,4.97063567620218
ECB_00003,2.52676524872107,1.10451902518148,2.57219232512962,2.52159845184156,3.25871628712042,2.12497245124962,1.26613450863434,4.45050137741196,1.10300506165514,1.04468529003581,3.63064587359005,1.55600616606926,-1.00561683399571,2.92107999357849,2.88650355962802,1.56082104659606,5.67370172315263,5.91555837317426,3.35055261034963,2.74999839014609,3.10126213609332,2.49267246375159,2.4982895975108,2.99153483523193,1.25095081942347,1.07875665052434,2.35057144839108,2.64136549611845,3.3823371516177,2.44386248588855,2.28094467426996,2.137187825866,4.40157722248968,4.60131364120895,2.79918592351857,-1.00561683399571,3.5653745387748
ECB_00004,2.52676524872107,-1.00561683399571,0.631563143035222,0.716665695175811,2.6628065076419,1.23742739365819,1.98470183076886,4.52938677373314,-1.00561683399571,1.04468529003581,3.75795696665041,2.32302773592095,-1.00561683399571,0.979751007580595,1.6131018953478,-1.00561683399571,5.5701518734476,6.22237786332179,2.87801879879716,2.13766667172632,2.65232480449375,2.49267246375159,2.4982895975108,-1.00561683399571,2.43685181791459,2.83370525524915,2.35057144839108,2.29505195296591,3.47981231658314,1.25646594466545,-1.00561683399571,1.01922503921364,3.64281965173657,5.53939381303567,0.897596777823024,1.46393462202154,3.37209528169611
ECB_00005,1.05605533782465,1.10451902518148,1.21130776791487,-1.00561683399571,0.958750151417234,0.87904025142813,1.98470183076886,-1.00561683399571,-1.00561683399571,1.04468529003581,1.67834476671753,1.55600616606926,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,2.00293971182198,3.26176767401055,0.628074683817144,-1.00561683399571,0.680589843079715,-1.00561683399571,1.03532034288534,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.81604920489012,-1.00561683399571,1.22958220164433,-1.00561683399571,-1.00561683399571,2.137187825866,0.638219097962076,3.39221556633814,-1.00561683399571,2.21647055814393,1.07940125980103
ECB_00006,-1.00561683399571,1.79224471783389,1.21130776791487,0.716665695175811,-1.00561683399571,1.95072576724406,-1.00561683399571,-1.00561683399571,-1.00561683399571,2.5111643331073,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.64163911032281,-1.00561683399571,-1.00561683399571,1.78000019222078,1.30036321776884,1.20691824685444,-1.00561683399571,0.680589843079715,1.84770989873049,1.03532034288534,1.70008145228657,-1.00561683399571,1.07875665052434,0.929054964304946,1.83512473012546,1.9414251922873,-1.00561683399571,-1.00561683399571,1.01922503921364,0.638219097962076,0.945486063201643,1.97564606639773,-1.00561683399571,1.52868706406958
ECB_00007,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.958750151417234,1.23742739365819,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.64163911032281,-1.00561683399571,-1.00561683399571,-0.214146575471958,-0.114939760815496,1.60611371554942,1.01958901591411,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.409785388242101,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.2196785387649,-1.00561683399571,0.897596777823024,-1.00561683399571,-0.00976299257872103
ECB_00008,6.09441461876735,4.41256395686063,6.95867642209094,5.10910069369496,6.76165401058734,5.80102689626103,5.43734687584522,5.64729537818994,6.46667503855002,5.28448972443292,5.18428903900984,3.47469329690562,1.42355740858648,4.21812202068272,8.05412728714203,-1.00561683399571,6.55820847353531,6.43333863776186,6.05098997947532,5.72527058934537,5.20074924966529,5.88532680908696,5.78182982101198,5.42357713473188,4.63201494257558,6.07903034193552,5.92334674509026,5.43473780841298,4.60053412927846,4.80373766295144,5.41782280782484,6.24687596820767,5.51129086555206,5.5061741291984,4.08589255261954,3.06628222782487,4.64005237060489
ECB_00009,4.05421876567906,2.86982784559127,3.7883293877989,4.68543618520235,2.39215676199669,2.2799759049297,1.26613450863434,2.8282676727279,2.59083730968919,2.5111643331073,3.16275763434273,-1.00561683399571,2.65378541189651,1.64163911032281,4.61886846517054,-1.00561683399571,3.3495889363489,3.20141295456504,1.91451918816367,2.97932443604377,2.65232480449375,3.62437916780729,4.12305950512868,2.99153483523193,2.43685181791459,2.55781506968314,2.94714717008873,2.64136549611845,3.3823371516177,3.31499698026846,2.62662572515849,4.28043804634648,2.39699659741076,2.87053755923253,2.30625057997197,1.46393462202154,2.67554346145951
ECB_00010,2.80171296336678,-1.00561683399571,3.45403394950843,2.04574985279973,0.958750151417234,0.87904025142813,-1.00561683399571,1.0748905626732,2.86771038651303,1.04468529003581,1.01002071771606,-1.00561683399571,-1.00561683399571,2.08509626757708,1.6131018953478,-1.00561683399571,2.00293971182198,2.54898042724598,2.16682176258446,-1.00561683399571,1.99261407455985,1.15084684365972,1.70894058163646,1.70008145228657,-1.00561683399571,1.76129551829105,3.12998357822492,1.1403171936644,1.22958220164433,1.97326857277938,1.12940665466883,1.68948461680102,0.638219097962076,-1.00561683399571,2.5739693593664,-1.00561683399571,2.93159624279036
