,MURI_016,MURI_017,MURI_018,MURI_019,MURI_020,MURI_025,MURI_026,MURI_027,MURI_028,MURI_029,MURI_034,MURI_035,MURI_036,MURI_037,MURI_038,MURI_043,MURI_044,MURI_045,MURI_046,MURI_047,MURI_052,MURI_053,MURI_054,MURI_055,MURI_056,MURI_069,MURI_070,MURI_071,MURI_072,MURI_077,MURI_078,MURI_079,MURI_080,MURI_085,MURI_087,MURI_089,MURI_091,MURI_093,MURI_095,MURI_097,MURI_098,MURI_099,MURI_100,MURI_101,MURI_106,MURI_107,MURI_108,MURI_110,MURI_118,MURI_119,MURI_120,MURI_122,MURI_130,MURI_131,MURI_132,MURI_134
YP_003043230.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.00393274180959,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.40848036360499,1.92571554274477,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003043231.1,8.29568690847968,8.53930783071765,8.50787316003617,8.70934365747444,8.7534863591447,8.46349044247544,8.60888332646299,8.5181047863856,8.74663990273758,8.68823473108838,6.76308118119509,7.36090546565745,6.83754429221507,7.07971075780287,5.29049266792857,7.64516240665807,7.13718877327388,7.38926639212621,6.86153429771387,6.83986067065772,7.7892365087691,7.60913939867463,7.37266843370682,7.45098595405221,7.42028588104683,6.26750282307631,6.7148511775166,6.22095099319188,6.18740099684628,6.45873511992277,5.60017036609989,5.90432407646923,5.71752704406525,7.85421429362519,7.97847190072323,7.85495458880641,8.10323276904045,8.29730112062867,8.24170169978773,8.04104573092098,8.16841180219469,7.58953060548924,7.79503564662047,7.50090800207994,8.29618436922933,8.07680435093634,8.16042667952858,8.06788190954424,8.242265717954,8.25433216678967,8.23062227499742,8.19272970901262,7.14017174979252,7.34360573832882,7.62620004044887,7.52128075317571
YP_003043232.1,6.40703732920291,6.42170653853676,6.7153126909689,6.85763513472684,6.72719501087012,6.47784670587173,6.9274869568071,7.10657485856472,7.06159831933549,6.97367460719057,3.07298840332003,3.96357740954334,5.03909292991018,4.99298812353164,3.9799003336428,5.22952606200828,5.24823096313673,6.01074761756993,5.28890692195387,5.6607226226465,5.49671409930961,4.56108525655732,3.99263305325971,4.77212475155955,4.68120424581052,4.25572990607247,4.21383498215567,3.85267360359556,3.9828031616748,4.44094102450716,3.67212049109357,4.21478543224717,3.69303101704837,5.95072408785329,6.10266274855593,6.09000645002081,6.08483627082027,6.49726650760122,6.00098599389493,5.50145471467737,5.69939203529732,5.43467952408202,5.51711230816071,5.80459965602094,5.70854604567566,5.51201478495323,5.56360620150377,5.3710878196734,5.37521381691427,5.3202381201865,5.34109273797936,5.47669801002813,5.36647460716703,5.79973307234335,5.3990301203268,5.65058053522101
YP_003043233.1,8.65385280423028,8.76619532419431,9.0501997041523,9.34205242802658,9.1914666206652,8.43985832280872,9.08112358942719,8.77679633835099,9.28023968825743,9.23117821100097,4.48222320503767,5.52173451614833,6.35964254458572,5.83234232576996,6.76134010805882,7.84801559147621,7.22588863296402,7.11654393566689,7.49066972418035,7.77076384721203,7.37392982414805,7.23617610973985,7.07880885390323,7.1742015533691,7.0616059505386,5.7273127613341,6.07552086311392,5.33549488029501,5.51788154334754,6.03557526650786,5.07781752657142,5.75531740003131,4.88822013968262,7.65379505007834,7.69224829977897,7.51983701113896,7.95666240583658,7.87999700733807,7.83648503374377,8.20135183743536,8.20583557101473,7.54136457746959,8.13760328778841,7.85600533210595,7.87811227749177,7.81955817848284,7.82710992601517,7.55787247275862,7.76469940207623,7.70995655537142,7.68936487756387,7.70802559349334,7.01811750016482,7.77287794446752,7.38216062364148,7.57223050309087
YP_003043234.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.35123823601386,1.45620461278539,1.45620461278539,1.45620461278539,2.00934199115239,2.29246047889205,1.45620461278539,2.16549104159058,2.01258234511513,2.11732740879118,1.92899547606364,1.45620461278539,1.45620461278539,1.45620461278539,2.21716913707173,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003043235.1,6.10744681044421,5.72420687036451,5.8010620902683,5.52522192345633,5.3876472463168,5.88916316333432,5.59582841027778,5.52252909633922,5.88144217216613,5.72121641672136,2.62775759525361,4.12246052301638,3.65083414349442,3.66872499508634,3.21605023682972,4.31337183842207,3.42427591115591,4.23526170055617,4.50667660256109,5.05350109026344,5.18029403473254,5.06440445214068,5.20572802070198,5.5682691888073,5.10203691874564,4.1925776890194,3.92601818982406,4.27189338293014,4.35172713496938,4.19148236070772,3.62214800409517,4.54487423412177,4.05578096944524,5.31174613648339,5.49273364658472,5.26712320057858,5.52194734001826,5.96921003708656,5.29516814453425,4.95596518738458,4.8020671664451,5.15488713557073,5.51711230816071,5.67432156763484,5.12615952381651,5.34247998856339,5.34737274136428,5.01414317530372,4.95892883940213,5.05532484686316,4.90835891796192,4.99156412053238,3.50604971757118,4.31609283317522,3.45256647963552,5.15571554674898
YP_003043236.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.73321468557864,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.22629456109395,2.23381202509065,2.29246047889205,2.03650659825432,1.45620461278539,2.32804950573326,2.11732740879118,2.12190634702315,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.89498753167408,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.49360825206977,1.45620461278539,1.45620461278539
YP_003043237.1,8.00824908684882,8.34215027614747,8.37479086502517,8.27773869160957,8.26234567396589,7.8180606701182,8.35072485376696,8.21961946125218,8.34287446933726,8.25789403850549,5.67823799589026,6.43690603298005,6.35964254458572,6.63330746344934,8.50735826969048,7.72518532072042,7.69842999658264,7.82505040155434,7.24272443557357,7.47943064985493,7.18933756547688,7.01198315734119,6.75372749509491,6.76300453364583,6.96538059809371,5.51571175177689,5.8278810147837,5.40198399094925,5.72903252401833,5.41035077510026,4.84682989878913,5.40088308762967,5.15394949221899,7.84316519313614,7.88346437616994,7.86641018674317,7.80362154306017,7.88603359907798,7.74078051446978,7.21516951938165,7.26788255958386,6.94291317662428,7.3967707783373,7.71437671890561,7.21680316569194,7.23173677397344,7.26333230094569,6.96886298185302,7.20599741955867,7.39274388606071,7.2928809810858,7.38669642232461,6.99980587411187,7.39530037419329,6.93349769109147,7.36822892447714
YP_003043238.1,4.61342353200428,4.4671622077954,4.98170493693097,4.83274199389498,4.55119470776196,4.32351527879121,4.420761330245,3.40360021881438,4.57360791146435,3.82867477887168,4.04418970366844,3.78355999851811,2.91855345580063,3.46787712384044,3.82647719760119,3.33846874363475,3.42427591115591,2.84594231655333,3.53587188867223,4.30347685409514,3.6595630066675,3.98717737465667,3.77183704519429,3.85231505528907,3.16262952533176,2.94745422261072,2.96114586132268,3.06721358107433,3.19627014088681,3.11777752646097,3.27305680686361,2.74660374522413,2.89733161974641,4.3934072136452,3.84996257852876,4.24262752881934,4.13412587850563,4.90333921216198,4.24698425014185,3.3051864705903,3.28628103119454,3.28923983484165,3.85707202898393,3.73844252882969,3.89387696129679,4.33857080325907,3.31889884766455,3.65796570213622,3.30718775890288,3.33221454337973,3.50448561445164,2.79311761643239,3.70956506703075,3.18643025449061,3.45256647963552,3.5149337115862
YP_003043239.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.96024485642218,1.45620461278539,1.92571554274477,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
