"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",1,3.16227766016838,NA,NA,NA,NA,0.277777777777778,0.722222222222222,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"2",2,"linear",1,3.16227766016838,NA,NA,NA,NA,0,1,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"3",3,"linear",1,0.1,NA,NA,NA,NA,0.25974025974026,0.74025974025974,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"4",4,"linear",1,0.1,NA,NA,NA,NA,0.3584229390681,0.6415770609319,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"5",5,"linear",0.988275862068966,0.1,NA,NA,NA,NA,0.25974025974026,0.74025974025974,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"6",6,"linear",0.988275862068966,0.1,NA,NA,NA,NA,0.277777777777778,0.722222222222222,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"7",7,"linear",1,0.464158883361278,NA,NA,NA,NA,0.277777777777778,0.722222222222222,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"8",8,"linear",0.976551724137931,0.1,NA,NA,NA,NA,0,1,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"9",9,"linear",1,0.316227766016838,NA,NA,NA,NA,0.4,0.6,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"10",10,"linear",1,2154434.69003188,NA,NA,NA,NA,0.114285714285714,0.885714285714286,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"11",11,"linear",0.988275862068966,0.146779926762207,NA,NA,NA,NA,0.196078431372549,0.803921568627451,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"12",12,"linear",1,68129206.9057959,NA,NA,NA,NA,0.555555555555556,0.444444444444444,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"13",13,"linear",1,681.292069057961,NA,NA,NA,NA,0.25974025974026,0.74025974025974,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"14",14,"linear",0.981720430107527,14677992.6762207,NA,NA,NA,NA,0.46875,0.53125,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"15",15,"linear",0.988275862068966,0.316227766016838,NA,NA,NA,NA,0.3125,0.6875,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"16",16,"linear",1,0.146779926762207,NA,NA,NA,NA,0.3125,0.6875,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
"17",17,"linear",1,6812.92069057961,NA,NA,NA,NA,0.25974025974026,0.74025974025974,0.989806560309515,0.761479175451543,"int_mRNA_protein_Na"
