"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",1,215.443469003188,NA,NA,NA,NA,0.383004926108374,0.616995073891626,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"2",2,"linear",1,464158.883361277,NA,NA,NA,NA,0,1,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"3",3,"linear",1,1e+05,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"4",4,"linear",1,0.464158883361278,NA,NA,NA,NA,0.331730769230769,0.668269230769231,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"5",5,"linear",1,31622.7766016838,NA,NA,NA,NA,0.13034188034188,0.86965811965812,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"6",6,"linear",0.9925,0.316227766016838,NA,NA,NA,NA,0.446759259259259,0.553240740740741,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"7",7,"linear",1,464.158883361278,NA,NA,NA,NA,0.13034188034188,0.86965811965812,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"8",8,"linear",1,2154434.69003188,NA,NA,NA,NA,0.13034188034188,0.86965811965812,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"9",9,"linear",1,215.443469003188,NA,NA,NA,NA,0.251803751803752,0.748196248196248,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"10",10,"linear",1,316.227766016838,NA,NA,NA,NA,0.338362068965517,0.661637931034483,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"11",11,"linear",1,46415888.3361277,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"12",12,"linear",1,31.6227766016838,NA,NA,NA,NA,0.133004926108374,0.866995073891626,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"13",13,"linear",1,1e+05,NA,NA,NA,NA,0.173611111111111,0.826388888888889,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"14",14,"linear",1,31622.7766016838,NA,NA,NA,NA,0.145833333333333,0.854166666666667,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"15",15,"linear",1,215443.469003188,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"16",16,"linear",1,1,NA,NA,NA,NA,0.155092592592593,0.844907407407407,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"17",17,"linear",1,681.292069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"18",18,"linear",1,1e+08,NA,NA,NA,NA,0.13034188034188,0.86965811965812,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"19",19,"linear",0.990476190476191,0.681292069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"20",20,"linear",1,21.5443469003188,NA,NA,NA,NA,0.413690476190476,0.586309523809524,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"21",21,"linear",1,681.292069057961,NA,NA,NA,NA,0.155092592592593,0.844907407407407,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"22",22,"linear",1,68.1292069057961,NA,NA,NA,NA,0.206730769230769,0.793269230769231,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"23",23,"linear",1,0.215443469003188,NA,NA,NA,NA,0.422008547008547,0.577991452991453,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"24",24,"linear",1,2154.43469003188,NA,NA,NA,NA,0.145833333333333,0.854166666666667,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"25",25,"linear",1,14677992.6762207,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"26",26,"linear",1,3162277.66016838,NA,NA,NA,NA,0,1,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"27",27,"linear",1,6812920.69057961,NA,NA,NA,NA,0.388888888888889,0.611111111111111,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"28",28,"linear",1,0.464158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"29",29,"linear",1,1,NA,NA,NA,NA,0.2225,0.7775,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"30",30,"linear",1,14677992.6762207,NA,NA,NA,NA,0.155092592592593,0.844907407407407,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"31",31,"linear",1,31622776.6016838,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"32",32,"linear",0.980952380952381,0.146779926762207,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"33",33,"linear",1,31622776.6016838,NA,NA,NA,NA,0.259259259259259,0.740740740740741,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"34",34,"linear",1,46415888.3361277,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"35",35,"linear",1,21544.3469003188,NA,NA,NA,NA,0,1,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"36",36,"linear",1,100,NA,NA,NA,NA,0.145833333333333,0.854166666666667,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"37",37,"linear",1,21544346.9003188,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"38",38,"linear",1,1e+05,NA,NA,NA,NA,0.295634920634921,0.704365079365079,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"39",39,"linear",1,14677992.6762207,NA,NA,NA,NA,0.457777777777778,0.542222222222222,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"40",40,"linear",1,31622.7766016838,NA,NA,NA,NA,0.13034188034188,0.86965811965812,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"41",41,"linear",1,0.681292069057961,NA,NA,NA,NA,0.155092592592593,0.844907407407407,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"42",42,"linear",1,1467.79926762207,NA,NA,NA,NA,0.0933333333333334,0.906666666666667,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"43",43,"linear",1,1,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"44",44,"linear",1,46415.8883361277,NA,NA,NA,NA,0.1875,0.8125,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"45",45,"linear",1,2154434.69003188,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"46",46,"linear",1,4.64158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"47",47,"linear",1,1e+08,NA,NA,NA,NA,0.338362068965517,0.661637931034483,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"48",48,"linear",1,21544.3469003188,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"49",49,"linear",1,1e+06,NA,NA,NA,NA,0.37037037037037,0.62962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"50",50,"linear",1,3.16227766016838,NA,NA,NA,NA,0.465277777777778,0.534722222222222,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"51",51,"linear",1,681.292069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"52",52,"linear",1,6812920.69057961,NA,NA,NA,NA,0.500961538461538,0.499038461538462,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"53",53,"linear",1,0.316227766016838,NA,NA,NA,NA,0.1875,0.8125,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"54",54,"linear",0.990476190476191,100,NA,NA,NA,NA,0.465277777777778,0.534722222222222,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"55",55,"linear",1,10000,NA,NA,NA,NA,0.425438596491228,0.574561403508772,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"56",56,"linear",1,31.6227766016838,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"57",57,"linear",0.990476190476191,4641588.83361277,NA,NA,NA,NA,0,1,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"58",58,"linear",0.990476190476191,2.15443469003188,NA,NA,NA,NA,0.338362068965517,0.661637931034483,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"59",59,"linear",1,1467.79926762207,NA,NA,NA,NA,0.446759259259259,0.553240740740741,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"60",60,"linear",1,2.15443469003188,NA,NA,NA,NA,0.369047619047619,0.630952380952381,0.998922619047619,0.812463878937714,"int_mRNA_protein_carbon"
"61",1,"radial",1,68129.2069057961,0.000316227766016838,NA,NA,NA,0.39047619047619,0.60952380952381,1,0.865319238498836,"int_mRNA_protein_carbon"
"62",2,"radial",1,31622776.6016838,1e-04,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"63",3,"radial",1,215.443469003188,0.000464158883361278,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"64",4,"radial",1,14677992.6762207,0.316227766016838,NA,NA,NA,0.39047619047619,0.60952380952381,1,0.865319238498836,"int_mRNA_protein_carbon"
"65",5,"radial",1,4641.58883361277,0.146779926762207,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"66",6,"radial",1,3162.27766016838,0.01,NA,NA,NA,0.338362068965517,0.661637931034483,1,0.865319238498836,"int_mRNA_protein_carbon"
"67",7,"radial",1,1e+06,0.01,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"68",8,"radial",1,68129206.9057959,0.001,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"69",9,"radial",1,215443.469003188,0.01,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"70",10,"radial",1,46.4158883361278,0.00215443469003188,NA,NA,NA,0.272727272727273,0.727272727272727,1,0.865319238498836,"int_mRNA_protein_carbon"
"71",11,"radial",1,31.6227766016838,0.0146779926762207,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"72",12,"radial",1,681292.069057961,0.000316227766016838,NA,NA,NA,0.0981818181818181,0.901818181818182,1,0.865319238498836,"int_mRNA_protein_carbon"
"73",13,"radial",1,1467.79926762207,0.1,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"74",14,"radial",1,6.81292069057961,0.0681292069057961,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"75",15,"radial",1,14677992.6762207,0.1,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"76",16,"radial",1,6812920.69057961,0.00681292069057961,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"77",17,"radial",1,21544346.9003188,0.000146779926762207,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"78",18,"radial",1,14677.9926762207,0.000316227766016838,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"79",19,"radial",1,1e+06,0.1,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"80",20,"radial",1,68129.2069057961,0.00215443469003188,NA,NA,NA,0.338362068965517,0.661637931034483,1,0.865319238498836,"int_mRNA_protein_carbon"
"81",21,"radial",1,4641.58883361277,0.000215443469003188,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"82",22,"radial",1,681292.069057961,0.01,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"83",23,"radial",1,46415.8883361277,0.01,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.865319238498836,"int_mRNA_protein_carbon"
"84",24,"radial",1,68129206.9057959,0.0146779926762207,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.865319238498836,"int_mRNA_protein_carbon"
"85",25,"radial",1,46415888.3361277,0.001,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"86",26,"radial",1,3162.27766016838,0.000681292069057961,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"87",27,"radial",1,46.4158883361278,0.0215443469003188,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.865319238498836,"int_mRNA_protein_carbon"
"88",28,"radial",1,14677.9926762207,0.01,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"89",29,"radial",1,6812920.69057961,0.00316227766016838,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"90",30,"radial",1,215.443469003188,0.000464158883361278,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"91",31,"radial",1,4641.58883361277,0.0146779926762207,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"92",32,"radial",1,31622776.6016838,0.0146779926762207,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"93",33,"radial",1,31622776.6016838,0.000464158883361278,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.865319238498836,"int_mRNA_protein_carbon"
"94",34,"radial",1,464158.883361277,1e-04,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"95",35,"radial",1,2154.43469003188,0.00464158883361278,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"96",36,"radial",1,6812.92069057961,0.01,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"97",37,"radial",1,4641588.83361277,0.0215443469003188,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"98",38,"radial",1,1e+05,0.000464158883361278,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.865319238498836,"int_mRNA_protein_carbon"
"99",39,"radial",1,2154434.69003188,1e-04,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.865319238498836,"int_mRNA_protein_carbon"
"100",40,"radial",1,6.81292069057961,0.0464158883361278,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"101",41,"radial",1,1e+08,0.00316227766016838,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"102",42,"radial",1,146.779926762207,0.0316227766016838,NA,NA,NA,0,1,1,0.865319238498836,"int_mRNA_protein_carbon"
"103",43,"radial",1,2154.43469003188,0.000681292069057961,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"104",44,"radial",1,68129206.9057959,0.00464158883361278,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.865319238498836,"int_mRNA_protein_carbon"
"105",45,"radial",1,21544.3469003188,0.0316227766016838,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"106",46,"radial",1,1e+08,0.000681292069057961,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.865319238498836,"int_mRNA_protein_carbon"
"107",47,"radial",1,1e+05,0.00146779926762207,NA,NA,NA,0.338362068965517,0.661637931034483,1,0.865319238498836,"int_mRNA_protein_carbon"
