"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",0.985645933014354,0.464158883361278,NA,NA,NA,NA,0.040133779264214,0.959866220735786,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"2",2,"linear",0.985645933014354,2.15443469003188,NA,NA,NA,NA,0.040133779264214,0.959866220735786,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"3",3,"linear",1,10,NA,NA,NA,NA,0.0833333333333334,0.916666666666667,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"4",4,"linear",0.990690424126957,14.6779926762207,NA,NA,NA,NA,0.243589743589744,0.756410256410256,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"5",5,"linear",1,3.16227766016838,NA,NA,NA,NA,0.274483970136144,0.725516029863856,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"6",6,"linear",0.970861244019139,0.316227766016838,NA,NA,NA,NA,0.075,0.925,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"7",7,"linear",0.962761696507827,6812920.69057961,NA,NA,NA,NA,0.0833333333333334,0.916666666666667,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"8",8,"linear",0.986425339366516,0.1,NA,NA,NA,NA,0.243107769423559,0.756892230576441,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"9",9,"linear",0.980950226244344,0.1,NA,NA,NA,NA,0,1,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"10",10,"linear",0.981380848253913,0.146779926762207,NA,NA,NA,NA,0.192063492063492,0.807936507936508,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"11",11,"linear",0.984126984126984,1,NA,NA,NA,NA,0.166666666666667,0.833333333333333,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"12",12,"linear",0.995215311004785,3.16227766016838,NA,NA,NA,NA,0.0833333333333334,0.916666666666667,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"13",13,"linear",0.995215311004785,0.464158883361278,NA,NA,NA,NA,0.278812974465148,0.721187025534852,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"14",14,"linear",0.995215311004785,0.215443469003188,NA,NA,NA,NA,0.272904483430799,0.727095516569201,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"15",15,"linear",0.980861244019139,0.1,NA,NA,NA,NA,0.266666666666667,0.733333333333333,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"16",16,"linear",0.985905735131741,1,NA,NA,NA,NA,0.0833333333333334,0.916666666666667,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"17",17,"linear",0.971121046136526,31.6227766016838,NA,NA,NA,NA,0.0779220779220779,0.922077922077922,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"18",18,"linear",0.971121046136526,0.464158883361278,NA,NA,NA,NA,0.441558441558442,0.558441558441558,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"19",19,"linear",0.975821371610845,10,NA,NA,NA,NA,0.253302253302253,0.746697746697747,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"20",20,"linear",0.995215311004785,31.6227766016838,NA,NA,NA,NA,0.164529914529915,0.835470085470085,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"21",21,"linear",0.985645933014354,0.215443469003188,NA,NA,NA,NA,0.242063492063492,0.757936507936508,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"22",22,"linear",1,14677.9926762207,NA,NA,NA,NA,0.130909090909091,0.869090909090909,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"23",23,"linear",1,3.16227766016838,NA,NA,NA,NA,0.384126984126984,0.615873015873016,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"24",24,"linear",1,0.681292069057961,NA,NA,NA,NA,0.0779220779220779,0.922077922077922,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"25",25,"linear",1,1.46779926762207,NA,NA,NA,NA,0.274483970136144,0.725516029863856,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"26",26,"linear",1,3.16227766016838,NA,NA,NA,NA,0.206666666666667,0.793333333333333,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"27",27,"linear",0.980993454429987,2.15443469003188,NA,NA,NA,NA,0.237816764132554,0.762183235867446,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"28",28,"linear",1,46415888.3361277,NA,NA,NA,NA,0.130909090909091,0.869090909090909,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"29",29,"linear",1,21.5443469003188,NA,NA,NA,NA,0.120401337792642,0.879598662207358,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"30",30,"linear",0.981121046136526,10,NA,NA,NA,NA,0.0779220779220779,0.922077922077922,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"31",31,"linear",0.995215311004785,21.5443469003188,NA,NA,NA,NA,0.213131313131313,0.786868686868687,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"32",32,"linear",0.985905735131741,0.215443469003188,NA,NA,NA,NA,0.309941520467836,0.690058479532164,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"33",33,"linear",0.975645933014354,0.1,NA,NA,NA,NA,0.0779220779220779,0.922077922077922,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"34",34,"linear",0.981121046136526,0.316227766016838,NA,NA,NA,NA,0.208080808080808,0.791919191919192,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
