"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",0.688428323485795,316.227766016838,NA,NA,NA,NA,0.453968253968254,0.546031746031746,0.728161092233632,0.667895305725188,"int_protein_Mg"
"2",2,"linear",0.781471657333726,0.215443469003188,NA,NA,NA,NA,0.364583333333333,0.635416666666667,0.728161092233632,0.667895305725188,"int_protein_Mg"
"3",3,"linear",0.684196581196581,0.681292069057961,NA,NA,NA,NA,0.264285714285714,0.735714285714286,0.728161092233632,0.667895305725188,"int_protein_Mg"
"4",4,"linear",0.770378884631758,0.1,NA,NA,NA,NA,0.473015873015873,0.526984126984127,0.728161092233632,0.667895305725188,"int_protein_Mg"
"5",5,"linear",0.736381766381766,31.6227766016838,NA,NA,NA,NA,0.53030303030303,0.46969696969697,0.728161092233632,0.667895305725188,"int_protein_Mg"
"6",6,"linear",0.761796930187735,14.6779926762207,NA,NA,NA,NA,0.292857142857143,0.707142857142857,0.728161092233632,0.667895305725188,"int_protein_Mg"
"7",7,"linear",0.736780299309035,1e+06,NA,NA,NA,NA,0.705882352941176,0.294117647058824,0.728161092233632,0.667895305725188,"int_protein_Mg"
"8",8,"linear",0.687517297517298,4.64158883361278,NA,NA,NA,NA,0.287878787878788,0.712121212121212,0.728161092233632,0.667895305725188,"int_protein_Mg"
"9",9,"linear",0.747941279665418,3.16227766016838,NA,NA,NA,NA,0.212121212121212,0.787878787878788,0.728161092233632,0.667895305725188,"int_protein_Mg"
"10",10,"linear",0.722813074537213,14.6779926762207,NA,NA,NA,NA,0,1,0.728161092233632,0.667895305725188,"int_protein_Mg"
"11",11,"linear",0.636991939520675,21544.3469003188,NA,NA,NA,NA,0.0142857142857142,0.985714285714286,0.728161092233632,0.667895305725188,"int_protein_Mg"
"12",12,"linear",0.679361823361823,10,NA,NA,NA,NA,0.0767676767676767,0.923232323232323,0.728161092233632,0.667895305725188,"int_protein_Mg"
"13",13,"linear",0.771009361009361,6.81292069057961,NA,NA,NA,NA,0.464052287581699,0.535947712418301,0.728161092233632,0.667895305725188,"int_protein_Mg"
"14",14,"linear",0.859287749287749,3.16227766016838,NA,NA,NA,NA,0.433333333333333,0.566666666666667,0.728161092233632,0.667895305725188,"int_protein_Mg"
"15",15,"linear",0.829264030988169,4.64158883361278,NA,NA,NA,NA,0.222222222222222,0.777777777777778,0.728161092233632,0.667895305725188,"int_protein_Mg"
"16",16,"linear",0.635737064127869,0.146779926762207,NA,NA,NA,NA,0.464052287581699,0.535947712418301,0.728161092233632,0.667895305725188,"int_protein_Mg"
"17",17,"linear",0.689123639238582,681.292069057961,NA,NA,NA,NA,0.264285714285714,0.735714285714286,0.728161092233632,0.667895305725188,"int_protein_Mg"
"18",18,"linear",0.757150669679405,2.15443469003188,NA,NA,NA,NA,0.198611111111111,0.801388888888889,0.728161092233632,0.667895305725188,"int_protein_Mg"
"19",19,"linear",0.792060451255854,0.1,NA,NA,NA,NA,0.364583333333333,0.635416666666667,0.728161092233632,0.667895305725188,"int_protein_Mg"
