"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",1,0.1,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"2",2,"linear",0.988275862068966,0.316227766016838,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"3",3,"linear",0.976551724137931,46415.8883361277,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"4",4,"linear",1,1.46779926762207,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"5",5,"linear",0.964827586206897,0.1,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"6",6,"linear",0.976551724137931,0.1,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"7",7,"linear",1,1467.79926762207,NA,NA,NA,NA,0.340540540540541,0.659459459459459,0.984172413793103,0.792667486274297,"protein_Na"
"8",8,"linear",0.988275862068966,31622776.6016838,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"9",9,"linear",0.976551724137931,0.316227766016838,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"10",10,"linear",0.988275862068966,3.16227766016838,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"11",11,"linear",0.988275862068966,4.64158883361278,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"12",12,"linear",1,3162.27766016838,NA,NA,NA,NA,0.388888888888889,0.611111111111111,0.984172413793103,0.792667486274297,"protein_Na"
"13",13,"linear",0.976551724137931,0.215443469003188,NA,NA,NA,NA,0,1,0.984172413793103,0.792667486274297,"protein_Na"
"14",14,"linear",0.988275862068966,3.16227766016838,NA,NA,NA,NA,0,1,0.984172413793103,0.792667486274297,"protein_Na"
"15",15,"linear",0.964827586206897,0.1,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"16",16,"linear",0.988275862068966,1,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"17",17,"linear",0.976551724137931,0.146779926762207,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"18",18,"linear",0.953103448275862,2.15443469003188,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"19",19,"linear",0.976551724137931,0.316227766016838,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"20",20,"linear",1,2154.43469003188,NA,NA,NA,NA,0.17948717948718,0.82051282051282,0.984172413793103,0.792667486274297,"protein_Na"
"21",21,"linear",0.964827586206897,3.16227766016838,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"22",22,"linear",1,21544346.9003188,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"23",23,"linear",1,3162.27766016838,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"24",24,"linear",0.988275862068966,0.1,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"25",25,"linear",0.976551724137931,3.16227766016838,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"26",26,"linear",0.988275862068966,6.81292069057961,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"27",27,"linear",0.964827586206897,0.316227766016838,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"28",28,"linear",1,0.1,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"29",29,"linear",0.964827586206897,1,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"30",30,"linear",0.988275862068966,6.81292069057961,NA,NA,NA,NA,0.113513513513513,0.886486486486487,0.984172413793103,0.792667486274297,"protein_Na"
"31",31,"linear",0.976551724137931,21.5443469003188,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"32",32,"linear",1,681.292069057961,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"33",33,"linear",0.976551724137931,1,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"34",34,"linear",1,3162.27766016838,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"35",35,"linear",0.976551724137931,6.81292069057961,NA,NA,NA,NA,0.308823529411765,0.691176470588235,0.984172413793103,0.792667486274297,"protein_Na"
"36",36,"linear",0.964827586206897,6.81292069057961,NA,NA,NA,NA,0.276315789473684,0.723684210526316,0.984172413793103,0.792667486274297,"protein_Na"
"37",37,"linear",0.964827586206897,1e+06,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"38",38,"linear",1,1e+07,NA,NA,NA,NA,0.257142857142857,0.742857142857143,0.984172413793103,0.792667486274297,"protein_Na"
"39",39,"linear",0.988275862068966,3162.27766016838,NA,NA,NA,NA,0.276315789473684,0.723684210526316,0.984172413793103,0.792667486274297,"protein_Na"
"40",40,"linear",0.988275862068966,0.316227766016838,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
"41",41,"linear",0.988275862068966,0.681292069057961,NA,NA,NA,NA,0,1,0.984172413793103,0.792667486274297,"protein_Na"
"42",42,"linear",0.988275862068966,0.681292069057961,NA,NA,NA,NA,0.194444444444444,0.805555555555556,0.984172413793103,0.792667486274297,"protein_Na"
