"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",1,68129206.9057959,NA,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.867922292003626,"protein_carbon"
"2",2,"linear",1,6.81292069057961,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"3",3,"linear",1,215443.469003188,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"4",4,"linear",1,6812920.69057961,NA,NA,NA,NA,0.212121212121212,0.787878787878788,1,0.867922292003626,"protein_carbon"
"5",5,"linear",1,31622.7766016838,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"6",6,"linear",1,68.1292069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"7",7,"linear",1,68129206.9057959,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"8",8,"linear",1,46415.8883361277,NA,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.867922292003626,"protein_carbon"
"9",9,"linear",1,21.5443469003188,NA,NA,NA,NA,0.301666666666667,0.698333333333333,1,0.867922292003626,"protein_carbon"
"10",10,"linear",1,68129.2069057961,NA,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.867922292003626,"protein_carbon"
"11",11,"linear",1,1e+08,NA,NA,NA,NA,0.348990683229814,0.651009316770186,1,0.867922292003626,"protein_carbon"
"12",12,"linear",1,464.158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"13",13,"linear",1,464.158883361278,NA,NA,NA,NA,0.25,0.75,1,0.867922292003626,"protein_carbon"
"14",14,"linear",1,4641.58883361277,NA,NA,NA,NA,0.13034188034188,0.86965811965812,1,0.867922292003626,"protein_carbon"
"15",15,"linear",1,215.443469003188,NA,NA,NA,NA,0.182608695652174,0.817391304347826,1,0.867922292003626,"protein_carbon"
"16",16,"linear",1,68129.2069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"17",17,"linear",1,2154.43469003188,NA,NA,NA,NA,0.212121212121212,0.787878787878788,1,0.867922292003626,"protein_carbon"
"18",18,"linear",1,46.4158883361278,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"19",19,"linear",1,6812.92069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"20",20,"linear",1,31.6227766016838,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"21",21,"linear",1,316227.766016838,NA,NA,NA,NA,0.227053140096618,0.772946859903382,1,0.867922292003626,"protein_carbon"
"22",22,"linear",1,68129.2069057961,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"23",23,"linear",1,68129.2069057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"24",24,"linear",1,4641588.83361277,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"25",25,"linear",1,316.227766016838,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"26",26,"linear",1,1e+06,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"27",27,"linear",1,681.292069057961,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"28",28,"linear",1,1e+06,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"29",29,"linear",1,464.158883361278,NA,NA,NA,NA,0.219444444444444,0.780555555555556,1,0.867922292003626,"protein_carbon"
"30",30,"linear",1,316.227766016838,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"31",31,"linear",1,46415.8883361277,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"32",32,"linear",1,68129206.9057959,NA,NA,NA,NA,0.133004926108374,0.866995073891626,1,0.867922292003626,"protein_carbon"
"33",33,"linear",1,0.146779926762207,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"34",34,"linear",1,4.64158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"35",35,"linear",1,681292.069057961,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"36",36,"linear",1,6812920.69057961,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"37",37,"linear",1,68129206.9057959,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"38",38,"linear",1,46415.8883361277,NA,NA,NA,NA,0.0933333333333334,0.906666666666667,1,0.867922292003626,"protein_carbon"
"39",39,"linear",1,3162.27766016838,NA,NA,NA,NA,0.0933333333333334,0.906666666666667,1,0.867922292003626,"protein_carbon"
"40",40,"linear",1,46.4158883361278,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"41",41,"linear",1,3162277.66016838,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"42",42,"linear",1,681292.069057961,NA,NA,NA,NA,0.338362068965517,0.661637931034483,1,0.867922292003626,"protein_carbon"
"43",43,"linear",1,14677992.6762207,NA,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.867922292003626,"protein_carbon"
"44",44,"linear",1,68.1292069057961,NA,NA,NA,NA,0.227053140096618,0.772946859903382,1,0.867922292003626,"protein_carbon"
"45",45,"linear",1,10000,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"46",46,"linear",1,146779.926762207,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"47",47,"linear",1,4.64158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"48",48,"linear",1,1e+08,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"49",49,"linear",1,14.6779926762207,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"50",50,"linear",1,1e+07,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"51",51,"linear",1,3.16227766016838,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"52",52,"linear",1,215443.469003188,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"53",53,"linear",1,46.4158883361278,NA,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.867922292003626,"protein_carbon"
"54",54,"linear",1,6812.92069057961,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"55",55,"linear",1,100,NA,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.867922292003626,"protein_carbon"
"56",56,"linear",1,14677.9926762207,NA,NA,NA,NA,0.238095238095238,0.761904761904762,1,0.867922292003626,"protein_carbon"
"57",57,"linear",1,215443.469003188,NA,NA,NA,NA,0.273680124223602,0.726319875776398,1,0.867922292003626,"protein_carbon"
"58",58,"linear",1,0.215443469003188,NA,NA,NA,NA,0.0625,0.9375,1,0.867922292003626,"protein_carbon"
"59",59,"linear",1,1e+07,NA,NA,NA,NA,0,1,1,0.867922292003626,"protein_carbon"
"60",60,"linear",1,3162.27766016838,NA,NA,NA,NA,0.295634920634921,0.704365079365079,1,0.867922292003626,"protein_carbon"
"61",1,"radial",1,21544.3469003188,0.01,NA,NA,NA,0.328525641025641,0.671474358974359,1,0.876240764332928,"protein_carbon"
"62",2,"radial",1,1e+06,0.1,NA,NA,NA,0.259259259259259,0.740740740740741,1,0.876240764332928,"protein_carbon"
"63",3,"radial",1,1e+07,0.00316227766016838,NA,NA,NA,0.0327272727272727,0.967272727272727,1,0.876240764332928,"protein_carbon"
"64",4,"radial",1,68.1292069057961,0.00316227766016838,NA,NA,NA,0.116883116883117,0.883116883116883,1,0.876240764332928,"protein_carbon"
"65",5,"radial",1,1e+08,0.000681292069057961,NA,NA,NA,0,1,1,0.876240764332928,"protein_carbon"
"66",6,"radial",1,1e+08,0.001,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.876240764332928,"protein_carbon"
"67",7,"radial",1,2154.43469003188,0.000316227766016838,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.876240764332928,"protein_carbon"
"68",8,"radial",1,31622.7766016838,0.00681292069057961,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.876240764332928,"protein_carbon"
"69",9,"radial",1,31622776.6016838,0.0316227766016838,NA,NA,NA,0.301666666666667,0.698333333333333,1,0.876240764332928,"protein_carbon"
"70",10,"radial",1,681.292069057961,0.00146779926762207,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.876240764332928,"protein_carbon"
"71",11,"radial",1,14677.9926762207,0.00681292069057961,NA,NA,NA,0.133004926108374,0.866995073891626,1,0.876240764332928,"protein_carbon"
"72",12,"radial",1,14677992.6762207,0.1,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.876240764332928,"protein_carbon"
"73",13,"radial",1,1000,0.00316227766016838,NA,NA,NA,0.0803571428571428,0.919642857142857,1,0.876240764332928,"protein_carbon"
"74",14,"radial",1,68129.2069057961,0.0215443469003188,NA,NA,NA,0.0370370370370371,0.962962962962963,1,0.876240764332928,"protein_carbon"
