"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",0.859017388636077,1.46779926762207,NA,NA,NA,NA,0.0972222222222222,0.902777777777778,0.907677341688092,0.802630511463845,"protein_exp"
"2",2,"linear",0.889899102737584,1.46779926762207,NA,NA,NA,NA,0.195238095238095,0.804761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"3",3,"linear",0.906486297560067,1.46779926762207,NA,NA,NA,NA,0.195238095238095,0.804761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"4",4,"linear",0.848093504141106,4.64158883361278,NA,NA,NA,NA,0.225,0.775,0.907677341688092,0.802630511463845,"protein_exp"
"5",5,"linear",0.873730565355795,1.46779926762207,NA,NA,NA,NA,0.195555555555556,0.804444444444444,0.907677341688092,0.802630511463845,"protein_exp"
"6",6,"linear",0.932305964598146,10,NA,NA,NA,NA,0.255238095238095,0.744761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"7",7,"linear",0.965663186749615,14.6779926762207,NA,NA,NA,NA,0.182539682539683,0.817460317460317,0.907677341688092,0.802630511463845,"protein_exp"
"8",8,"linear",0.856378428370716,681.292069057961,NA,NA,NA,NA,0.2,0.8,0.907677341688092,0.802630511463845,"protein_exp"
"9",9,"linear",0.90384549433778,6.81292069057961,NA,NA,NA,NA,0.148571428571429,0.851428571428571,0.907677341688092,0.802630511463845,"protein_exp"
"10",10,"linear",0.904288718254251,46.4158883361278,NA,NA,NA,NA,0.326666666666667,0.673333333333333,0.907677341688092,0.802630511463845,"protein_exp"
"11",11,"linear",0.942711758477169,46.4158883361278,NA,NA,NA,NA,0.0888888888888889,0.911111111111111,0.907677341688092,0.802630511463845,"protein_exp"
"12",12,"linear",0.830822417094575,14.6779926762207,NA,NA,NA,NA,0.142857142857143,0.857142857142857,0.907677341688092,0.802630511463845,"protein_exp"
"13",13,"linear",0.931843512927047,316227.766016838,NA,NA,NA,NA,0.255555555555556,0.744444444444444,0.907677341688092,0.802630511463845,"protein_exp"
"14",14,"linear",0.916863375807301,31.6227766016838,NA,NA,NA,NA,0.195238095238095,0.804761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"15",15,"linear",0.914200215660931,3.16227766016838,NA,NA,NA,NA,0.195238095238095,0.804761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"16",16,"linear",0.941577050965816,14.6779926762207,NA,NA,NA,NA,0.107142857142857,0.892857142857143,0.907677341688092,0.802630511463845,"protein_exp"
"17",17,"linear",0.903518931616732,14.6779926762207,NA,NA,NA,NA,0.133333333333333,0.866666666666667,0.907677341688092,0.802630511463845,"protein_exp"
"18",18,"linear",0.931178409825469,1e+07,NA,NA,NA,NA,0.0888888888888889,0.911111111111111,0.907677341688092,0.802630511463845,"protein_exp"
"19",19,"linear",0.917828379905374,10,NA,NA,NA,NA,0.321428571428571,0.678571428571429,0.907677341688092,0.802630511463845,"protein_exp"
"20",20,"linear",0.872416530587349,1,NA,NA,NA,NA,0.107142857142857,0.892857142857143,0.907677341688092,0.802630511463845,"protein_exp"
"21",21,"linear",0.927284724610014,6.81292069057961,NA,NA,NA,NA,0.326666666666667,0.673333333333333,0.907677341688092,0.802630511463845,"protein_exp"
"22",22,"linear",0.898299746794731,6.81292069057961,NA,NA,NA,NA,0.195238095238095,0.804761904761905,0.907677341688092,0.802630511463845,"protein_exp"
"23",23,"linear",0.941796764418661,10,NA,NA,NA,NA,0.395238095238095,0.604761904761905,0.907677341688092,0.802630511463845,"protein_exp"
