"","model","runNum","performance","error","meanPerformance","experiment"
"1","linear",1,1,0,0.985384259259259,"protein_exp_carbon"
"2","linear",2,0.9375,0.0625,0.985384259259259,"protein_exp_carbon"
"3","linear",3,1,0,0.985384259259259,"protein_exp_carbon"
"4","linear",4,1,0,0.985384259259259,"protein_exp_carbon"
"5","linear",5,1,0,0.985384259259259,"protein_exp_carbon"
"6","linear",6,0.94,0.06,0.985384259259259,"protein_exp_carbon"
"7","linear",7,0.8875,0.1125,0.985384259259259,"protein_exp_carbon"
"8","linear",8,1,0,0.985384259259259,"protein_exp_carbon"
"9","linear",9,1,0,0.985384259259259,"protein_exp_carbon"
"10","linear",10,1,0,0.985384259259259,"protein_exp_carbon"
"11","linear",11,1,0,0.985384259259259,"protein_exp_carbon"
"12","linear",12,1,0,0.985384259259259,"protein_exp_carbon"
"13","linear",13,0.95,0.05,0.985384259259259,"protein_exp_carbon"
"14","linear",14,1,0,0.985384259259259,"protein_exp_carbon"
"15","linear",15,1,0,0.985384259259259,"protein_exp_carbon"
"16","linear",16,0.933333333333333,0.0666666666666667,0.985384259259259,"protein_exp_carbon"
"17","linear",17,1,0,0.985384259259259,"protein_exp_carbon"
"18","linear",18,1,0,0.985384259259259,"protein_exp_carbon"
"19","linear",19,1,0,0.985384259259259,"protein_exp_carbon"
"20","linear",20,1,0,0.985384259259259,"protein_exp_carbon"
"21","linear",21,1,0,0.985384259259259,"protein_exp_carbon"
"22","linear",22,1,0,0.985384259259259,"protein_exp_carbon"
"23","linear",23,1,0,0.985384259259259,"protein_exp_carbon"
"24","linear",24,1,0,0.985384259259259,"protein_exp_carbon"
"25","linear",25,1,0,0.985384259259259,"protein_exp_carbon"
"26","linear",26,1,0,0.985384259259259,"protein_exp_carbon"
"27","linear",27,1,0,0.985384259259259,"protein_exp_carbon"
"28","linear",28,1,0,0.985384259259259,"protein_exp_carbon"
"29","linear",29,0.95,0.05,0.985384259259259,"protein_exp_carbon"
"30","linear",30,0.9625,0.0375,0.985384259259259,"protein_exp_carbon"
"31","linear",31,0.95,0.05,0.985384259259259,"protein_exp_carbon"
"32","linear",32,1,0,0.985384259259259,"protein_exp_carbon"
"33","linear",33,1,0,0.985384259259259,"protein_exp_carbon"
"34","linear",34,0.973333333333333,0.0266666666666667,0.985384259259259,"protein_exp_carbon"
"35","linear",35,1,0,0.985384259259259,"protein_exp_carbon"
"36","linear",36,0.955555555555556,0.0444444444444444,0.985384259259259,"protein_exp_carbon"
"37","linear",37,0.966666666666667,0.0333333333333333,0.985384259259259,"protein_exp_carbon"
"38","linear",38,1,0,0.985384259259259,"protein_exp_carbon"
"39","linear",39,0.944444444444444,0.0555555555555556,0.985384259259259,"protein_exp_carbon"
"40","linear",40,1,0,0.985384259259259,"protein_exp_carbon"
"41","linear",41,1,0,0.985384259259259,"protein_exp_carbon"
"42","linear",42,1,0,0.985384259259259,"protein_exp_carbon"
"43","linear",43,1,0,0.985384259259259,"protein_exp_carbon"
"44","linear",44,1,0,0.985384259259259,"protein_exp_carbon"
"45","linear",45,1,0,0.985384259259259,"protein_exp_carbon"
"46","linear",46,1,0,0.985384259259259,"protein_exp_carbon"
"47","linear",47,1,0,0.985384259259259,"protein_exp_carbon"
"48","linear",48,1,0,0.985384259259259,"protein_exp_carbon"
"49","linear",49,1,0,0.985384259259259,"protein_exp_carbon"
"50","linear",50,0.933333333333333,0.0666666666666667,0.985384259259259,"protein_exp_carbon"
"51","linear",51,1,0,0.985384259259259,"protein_exp_carbon"
"52","linear",52,1,0,0.985384259259259,"protein_exp_carbon"
"53","linear",53,1,0,0.985384259259259,"protein_exp_carbon"
"54","linear",54,0.95,0.05,0.985384259259259,"protein_exp_carbon"
"55","linear",55,0.955555555555556,0.0444444444444444,0.985384259259259,"protein_exp_carbon"
"56","linear",56,0.933333333333333,0.0666666666666667,0.985384259259259,"protein_exp_carbon"
"57","linear",57,1,0,0.985384259259259,"protein_exp_carbon"
"58","linear",58,1,0,0.985384259259259,"protein_exp_carbon"
"59","linear",59,1,0,0.985384259259259,"protein_exp_carbon"
"60","linear",60,1,0,0.985384259259259,"protein_exp_carbon"
"61","radial",1,1,0,0.987412037037037,"protein_exp_carbon"
"62","radial",2,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"63","radial",3,1,0,0.987412037037037,"protein_exp_carbon"
"64","radial",4,1,0,0.987412037037037,"protein_exp_carbon"
"65","radial",5,1,0,0.987412037037037,"protein_exp_carbon"
"66","radial",6,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"67","radial",7,0.9,0.1,0.987412037037037,"protein_exp_carbon"
"68","radial",8,1,0,0.987412037037037,"protein_exp_carbon"
"69","radial",9,1,0,0.987412037037037,"protein_exp_carbon"
"70","radial",10,1,0,0.987412037037037,"protein_exp_carbon"
"71","radial",11,1,0,0.987412037037037,"protein_exp_carbon"
"72","radial",12,1,0,0.987412037037037,"protein_exp_carbon"
"73","radial",13,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"74","radial",14,1,0,0.987412037037037,"protein_exp_carbon"
"75","radial",15,1,0,0.987412037037037,"protein_exp_carbon"
"76","radial",16,0.933333333333333,0.0666666666666667,0.987412037037037,"protein_exp_carbon"
"77","radial",17,1,0,0.987412037037037,"protein_exp_carbon"
"78","radial",18,1,0,0.987412037037037,"protein_exp_carbon"
"79","radial",19,1,0,0.987412037037037,"protein_exp_carbon"
"80","radial",20,1,0,0.987412037037037,"protein_exp_carbon"
"81","radial",21,1,0,0.987412037037037,"protein_exp_carbon"
"82","radial",22,1,0,0.987412037037037,"protein_exp_carbon"
"83","radial",23,1,0,0.987412037037037,"protein_exp_carbon"
"84","radial",24,1,0,0.987412037037037,"protein_exp_carbon"
"85","radial",25,1,0,0.987412037037037,"protein_exp_carbon"
"86","radial",26,1,0,0.987412037037037,"protein_exp_carbon"
"87","radial",27,1,0,0.987412037037037,"protein_exp_carbon"
"88","radial",28,1,0,0.987412037037037,"protein_exp_carbon"
"89","radial",29,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"90","radial",30,0.9625,0.0375,0.987412037037037,"protein_exp_carbon"
"91","radial",31,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"92","radial",32,1,0,0.987412037037037,"protein_exp_carbon"
"93","radial",33,1,0,0.987412037037037,"protein_exp_carbon"
"94","radial",34,1,0,0.987412037037037,"protein_exp_carbon"
"95","radial",35,1,0,0.987412037037037,"protein_exp_carbon"
"96","radial",36,0.955555555555556,0.0444444444444444,0.987412037037037,"protein_exp_carbon"
"97","radial",37,0.966666666666667,0.0333333333333333,0.987412037037037,"protein_exp_carbon"
"98","radial",38,1,0,0.987412037037037,"protein_exp_carbon"
"99","radial",39,1,0,0.987412037037037,"protein_exp_carbon"
"100","radial",40,1,0,0.987412037037037,"protein_exp_carbon"
"101","radial",41,1,0,0.987412037037037,"protein_exp_carbon"
"102","radial",42,1,0,0.987412037037037,"protein_exp_carbon"
"103","radial",43,1,0,0.987412037037037,"protein_exp_carbon"
"104","radial",44,1,0,0.987412037037037,"protein_exp_carbon"
"105","radial",45,1,0,0.987412037037037,"protein_exp_carbon"
"106","radial",46,1,0,0.987412037037037,"protein_exp_carbon"
"107","radial",47,1,0,0.987412037037037,"protein_exp_carbon"
"108","radial",48,1,0,0.987412037037037,"protein_exp_carbon"
"109","radial",49,1,0,0.987412037037037,"protein_exp_carbon"
"110","radial",50,0.933333333333333,0.0666666666666667,0.987412037037037,"protein_exp_carbon"
"111","radial",51,1,0,0.987412037037037,"protein_exp_carbon"
"112","radial",52,1,0,0.987412037037037,"protein_exp_carbon"
"113","radial",53,1,0,0.987412037037037,"protein_exp_carbon"
"114","radial",54,0.95,0.05,0.987412037037037,"protein_exp_carbon"
"115","radial",55,0.96,0.04,0.987412037037037,"protein_exp_carbon"
"116","radial",56,0.933333333333333,0.0666666666666667,0.987412037037037,"protein_exp_carbon"
"117","radial",57,1,0,0.987412037037037,"protein_exp_carbon"
"118","radial",58,1,0,0.987412037037037,"protein_exp_carbon"
"119","radial",59,1,0,0.987412037037037,"protein_exp_carbon"
"120","radial",60,1,0,0.987412037037037,"protein_exp_carbon"
"121","RF",1,1,0,0.978886243386243,"protein_exp_carbon"
"122","RF",2,1,0,0.978886243386243,"protein_exp_carbon"
"123","RF",3,1,0,0.978886243386243,"protein_exp_carbon"
"124","RF",4,1,0,0.978886243386243,"protein_exp_carbon"
"125","RF",5,0.942857142857143,0.0571428571428571,0.978886243386243,"protein_exp_carbon"
"126","RF",6,0.96,0.04,0.978886243386243,"protein_exp_carbon"
"127","RF",7,0.96,0.04,0.978886243386243,"protein_exp_carbon"
"128","RF",8,1,0,0.978886243386243,"protein_exp_carbon"
"129","RF",9,1,0,0.978886243386243,"protein_exp_carbon"
"130","RF",10,1,0,0.978886243386243,"protein_exp_carbon"
"131","RF",11,1,0,0.978886243386243,"protein_exp_carbon"
"132","RF",12,1,0,0.978886243386243,"protein_exp_carbon"
"133","RF",13,1,0,0.978886243386243,"protein_exp_carbon"
"134","RF",14,1,0,0.978886243386243,"protein_exp_carbon"
"135","RF",15,1,0,0.978886243386243,"protein_exp_carbon"
"136","RF",16,1,0,0.978886243386243,"protein_exp_carbon"
