"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",0.845444444444444,1.46779926762207,NA,NA,NA,NA,0.585714285714286,0.414285714285714,0.802721560846561,0.330447845804989,"protein_sta"
"2",2,"linear",0.844952380952381,1.46779926762207,NA,NA,NA,NA,0.5,0.5,0.802721560846561,0.330447845804989,"protein_sta"
"3",3,"linear",0.817222222222222,4.64158883361278,NA,NA,NA,NA,0.571428571428571,0.428571428571429,0.802721560846561,0.330447845804989,"protein_sta"
"4",4,"linear",0.786269841269841,1e+05,NA,NA,NA,NA,0.857142857142857,0.142857142857143,0.802721560846561,0.330447845804989,"protein_sta"
"5",5,"linear",0.752222222222222,6.81292069057961,NA,NA,NA,NA,0.514285714285714,0.485714285714286,0.802721560846561,0.330447845804989,"protein_sta"
"6",6,"linear",0.902222222222222,1,NA,NA,NA,NA,0.571428571428571,0.428571428571429,0.802721560846561,0.330447845804989,"protein_sta"
"7",7,"linear",0.801714285714286,146779.926762207,NA,NA,NA,NA,0.452380952380952,0.547619047619048,0.802721560846561,0.330447845804989,"protein_sta"
"8",8,"linear",0.835365079365079,1.46779926762207,NA,NA,NA,NA,0.816326530612245,0.183673469387755,0.802721560846561,0.330447845804989,"protein_sta"
"9",9,"linear",0.816507936507937,6.81292069057961,NA,NA,NA,NA,0.571428571428571,0.428571428571429,0.802721560846561,0.330447845804989,"protein_sta"
"10",10,"linear",0.871428571428571,2.15443469003188,NA,NA,NA,NA,0.60952380952381,0.39047619047619,0.802721560846561,0.330447845804989,"protein_sta"
"11",11,"linear",0.704888888888889,10,NA,NA,NA,NA,0.5,0.5,0.802721560846561,0.330447845804989,"protein_sta"
"12",12,"linear",0.653333333333333,1,NA,NA,NA,NA,0.714285714285714,0.285714285714286,0.802721560846561,0.330447845804989,"protein_sta"
"13",13,"linear",0.851761904761905,6.81292069057961,NA,NA,NA,NA,0.959183673469388,0.0408163265306123,0.802721560846561,0.330447845804989,"protein_sta"
"14",14,"linear",0.802777777777778,1.46779926762207,NA,NA,NA,NA,0.571428571428571,0.428571428571429,0.802721560846561,0.330447845804989,"protein_sta"
"15",15,"linear",0.921111111111111,4.64158883361278,NA,NA,NA,NA,0.673469387755102,0.326530612244898,0.802721560846561,0.330447845804989,"protein_sta"
"16",16,"linear",0.870634920634921,14677.9926762207,NA,NA,NA,NA,0.642857142857143,0.357142857142857,0.802721560846561,0.330447845804989,"protein_sta"
"17",17,"linear",0.875730158730159,0.681292069057961,NA,NA,NA,NA,0.452380952380952,0.547619047619048,0.802721560846561,0.330447845804989,"protein_sta"
"18",18,"linear",0.747301587301587,10,NA,NA,NA,NA,0.685714285714286,0.314285714285714,0.802721560846561,0.330447845804989,"protein_sta"
"19",19,"linear",0.755952380952381,4.64158883361278,NA,NA,NA,NA,0.657142857142857,0.342857142857143,0.802721560846561,0.330447845804989,"protein_sta"
"20",20,"linear",0.827396825396825,0.681292069057961,NA,NA,NA,NA,0.8,0.2,0.802721560846561,0.330447845804989,"protein_sta"
