"","model","runNum","performance","error","meanPerformance","experiment"
"1","linear",1,1,0,0.996861111111111,"protein_sta_Na"
"2","linear",2,1,0,0.996861111111111,"protein_sta_Na"
"3","linear",3,1,0,0.996861111111111,"protein_sta_Na"
"4","linear",4,0.966666666666667,0.0333333333333333,0.996861111111111,"protein_sta_Na"
"5","linear",5,1,0,0.996861111111111,"protein_sta_Na"
"6","linear",6,1,0,0.996861111111111,"protein_sta_Na"
"7","linear",7,1,0,0.996861111111111,"protein_sta_Na"
"8","linear",8,1,0,0.996861111111111,"protein_sta_Na"
"9","linear",9,1,0,0.996861111111111,"protein_sta_Na"
"10","linear",10,1,0,0.996861111111111,"protein_sta_Na"
"11","linear",11,1,0,0.996861111111111,"protein_sta_Na"
"12","linear",12,1,0,0.996861111111111,"protein_sta_Na"
"13","linear",13,1,0,0.996861111111111,"protein_sta_Na"
"14","linear",14,1,0,0.996861111111111,"protein_sta_Na"
"15","linear",15,1,0,0.996861111111111,"protein_sta_Na"
"16","linear",16,0.98,0.02,0.996861111111111,"protein_sta_Na"
"17","linear",17,1,0,0.996861111111111,"protein_sta_Na"
"18","linear",18,1,0,0.996861111111111,"protein_sta_Na"
"19","linear",19,1,0,0.996861111111111,"protein_sta_Na"
"20","linear",20,1,0,0.996861111111111,"protein_sta_Na"
"21","linear",21,1,0,0.996861111111111,"protein_sta_Na"
"22","linear",22,1,0,0.996861111111111,"protein_sta_Na"
"23","linear",23,1,0,0.996861111111111,"protein_sta_Na"
"24","linear",24,1,0,0.996861111111111,"protein_sta_Na"
"25","linear",25,1,0,0.996861111111111,"protein_sta_Na"
"26","linear",26,1,0,0.996861111111111,"protein_sta_Na"
"27","linear",27,1,0,0.996861111111111,"protein_sta_Na"
"28","linear",28,1,0,0.996861111111111,"protein_sta_Na"
"29","linear",29,1,0,0.996861111111111,"protein_sta_Na"
"30","linear",30,1,0,0.996861111111111,"protein_sta_Na"
"31","linear",31,1,0,0.996861111111111,"protein_sta_Na"
"32","linear",32,1,0,0.996861111111111,"protein_sta_Na"
"33","linear",33,1,0,0.996861111111111,"protein_sta_Na"
"34","linear",34,1,0,0.996861111111111,"protein_sta_Na"
"35","linear",35,1,0,0.996861111111111,"protein_sta_Na"
"36","linear",36,1,0,0.996861111111111,"protein_sta_Na"
"37","linear",37,1,0,0.996861111111111,"protein_sta_Na"
"38","linear",38,1,0,0.996861111111111,"protein_sta_Na"
"39","linear",39,1,0,0.996861111111111,"protein_sta_Na"
"40","linear",40,1,0,0.996861111111111,"protein_sta_Na"
"41","linear",41,1,0,0.996861111111111,"protein_sta_Na"
"42","linear",42,1,0,0.996861111111111,"protein_sta_Na"
"43","linear",43,0.94,0.06,0.996861111111111,"protein_sta_Na"
"44","linear",44,1,0,0.996861111111111,"protein_sta_Na"
"45","linear",45,1,0,0.996861111111111,"protein_sta_Na"
"46","linear",46,1,0,0.996861111111111,"protein_sta_Na"
"47","linear",47,1,0,0.996861111111111,"protein_sta_Na"
"48","linear",48,1,0,0.996861111111111,"protein_sta_Na"
"49","linear",49,1,0,0.996861111111111,"protein_sta_Na"
"50","linear",50,1,0,0.996861111111111,"protein_sta_Na"
"51","linear",51,1,0,0.996861111111111,"protein_sta_Na"
"52","linear",52,1,0,0.996861111111111,"protein_sta_Na"
"53","linear",53,1,0,0.996861111111111,"protein_sta_Na"
"54","linear",54,1,0,0.996861111111111,"protein_sta_Na"
