,TestTrainSubsetNo,model,performance,cost,gamma,nodesize,mtry,ntree,error_test,performance_test,meanPerformance,meanPerformance_test,analyzeName
1,1,linear,0.740517868,14.67799268,NA,NA,NA,NA,0.463095238,0.536904762,0.707274145,0.513642526,protein
2,2,linear,0.724044622,146.7799268,NA,NA,NA,NA,0.498511905,0.501488095,0.707274145,0.513642526,protein
3,3,linear,0.670987703,31.6227766,NA,NA,NA,NA,0.405208333,0.594791667,0.707274145,0.513642526,protein
4,4,linear,0.746510342,4641588.834,NA,NA,NA,NA,0.396428571,0.603571429,0.707274145,0.513642526,protein
5,5,linear,0.745885371,68.12920691,NA,NA,NA,NA,0.474702381,0.525297619,0.707274145,0.513642526,protein
6,6,linear,0.626876156,46.41588834,NA,NA,NA,NA,0.373611111,0.626388889,0.707274145,0.513642526,protein
7,7,linear,0.663874935,6.812920691,NA,NA,NA,NA,0.435416667,0.564583333,0.707274145,0.513642526,protein
8,8,linear,0.722084194,31.6227766,NA,NA,NA,NA,0.392361111,0.607638889,0.707274145,0.513642526,protein
9,9,linear,0.741014739,31.6227766,NA,NA,NA,NA,0.290178571,0.709821429,0.707274145,0.513642526,protein
10,10,linear,0.70691812,215.443469,NA,NA,NA,NA,0.427380952,0.572619048,0.707274145,0.513642526,protein
11,11,linear,0.671049004,6.812920691,NA,NA,NA,NA,0.523511905,0.476488095,0.707274145,0.513642526,protein
12,12,linear,0.678003968,4.641588834,NA,NA,NA,NA,0.375595238,0.624404762,0.707274145,0.513642526,protein
13,13,linear,0.712424681,100,NA,NA,NA,NA,0.54047619,0.45952381,0.707274145,0.513642526,protein
14,14,linear,0.736856532,31.6227766,NA,NA,NA,NA,0.650595238,0.349404762,0.707274145,0.513642526,protein
15,15,linear,0.682901797,21.5443469,NA,NA,NA,NA,0.444345238,0.555654762,0.707274145,0.513642526,protein
16,16,linear,0.70233765,146.7799268,NA,NA,NA,NA,0.462202381,0.537797619,0.707274145,0.513642526,protein
17,17,linear,0.734533482,31.6227766,NA,NA,NA,NA,0.477678571,0.522321429,0.707274145,0.513642526,protein
18,18,linear,0.754266062,14.67799268,NA,NA,NA,NA,0.538194444,0.461805556,0.707274145,0.513642526,protein
19,19,linear,0.659233174,4.641588834,NA,NA,NA,NA,0.640625,0.359375,0.707274145,0.513642526,protein
20,20,linear,0.735207861,68.12920691,NA,NA,NA,NA,0.354166667,0.645833333,0.707274145,0.513642526,protein
