"","model","comparison","p_value","padj"
"1","radial","mrna VS protein","1.94271596522966e-09",4.66251831655118e-09
"2","radial","mrna&protein VS mrna","3.90785574750106e-13",2.34471344850064e-12
"3","radial","mrna&protein VS protein","0.00842528870898621",0.010873974668921
"4","sigmoid","mrna VS protein","3.32701321525246e-08",6.65402643050492e-08
"5","sigmoid","mrna&protein VS mrna","3.08794959487455e-11",1.23517983794982e-10
"6","sigmoid","mrna&protein VS protein","0.0351707528515691",0.0351707528515691
"7","linear","mrna VS protein","4.72776111895968e-11",1.4183283356879e-10
"8","linear","mrna&protein VS mrna","1.59472976610913e-15",1.91367571933096e-14
"9","linear","mrna&protein VS protein","0.0094414301747188",0.010873974668921
"10","RF","mrna VS protein","0.00181809976462889",0.00272714964694334
"11","RF","mrna&protein VS mrna","1.92839478150958e-07",3.30581962544499e-07
"12","RF","mrna&protein VS protein","0.00996781011317761",0.010873974668921
